date,temp_avg
10/26/2012,9.15
10/27/2012,11.9
10/28/2012,12.2
10/29/2012,12.8
10/30/2012,13.6
10/31/2012,
11/1/2012,
11/2/2012,12.8
11/3/2012,13.35
11/4/2012,15.3
11/5/2012,11.4
11/6/2012,9.75
11/7/2012,
11/8/2012,5.55
11/9/2012,5
11/10/2012,3.6
11/11/2012,5
11/12/2012,9.45
11/13/2012,9.45
11/14/2012,8.05
11/15/2012,6.1
11/16/2012,5.8
11/17/2012,9.15
11/18/2012,8.05
11/19/2012,10.8
11/20/2012,9.15
11/21/2012,6.1
11/22/2012,5.85
11/23/2012,7.75
11/24/2012,6.4
11/25/2012,4.7
11/26/2012,
11/27/2012,5.85
11/28/2012,5.8
11/29/2012,10.3
11/30/2012,11.4
12/1/2012,
12/2/2012,7.75
12/3/2012,8.3
12/4/2012,9.45
12/5/2012,6.65
12/6/2012,6.65
12/7/2012,5.55
12/8/2012,5
12/9/2012,4.75
12/10/2012,6.4
12/11/2012,6.7
12/12/2012,5.55
12/13/2012,5.25
12/14/2012,3.6
12/15/2012,
12/16/2012,5
12/17/2012,5
12/18/2012,2.25
12/19/2012,5
12/20/2012,3.9
12/21/2012,3.3
12/22/2012,6.1
12/23/2012,5.25
12/24/2012,4.2
12/25/2012,4.2
12/26/2012,5
12/27/2012,5.55
12/28/2012,
12/29/2012,4.15
12/30/2012,2.2
12/31/2012,1.1
